Company,Current_Employees,Valuation_bn,Layoffs?
OpenAI,500,28,n
Databricks,5500,38,n
Stripe,7000,50,y
Canva,3640,40,n
ServiceTitan,2564,7.5,y
Klaviyo,1598,9.5,y
Grammarly,900,13,n
Talkdesk,1800,10,y
Rubrik,2900,3.3,y
Miro,1762,17.5,y
Navan,3000,9.2,n
Netskope,2500,7.5,n
Tanium,1887,9,y
Attentive,1035,7,y
Wiz,740,10,n
Carta,1800,7.4,y
Celonis,3000,13,n
Grafana Labs,1000,6,n
Snyk,1000,7.4,y
Benchling,800,6.1,y
OneTrust,2100,4.5,y
Checkr,1250,5,y
Gong,1100,7.3,y
Zapier,756,5,y
Dialpad,1084,2.2,n
Gusto,2400,9.5,y
Appsflyer,1515,2,n
Airtable,900,11,y
Arctic Wolf,2221,4.3,n
OutSystems,1875,4.4,n
Guild,1200,4.4,y
Motive,3000,2.9,y
Scale AI,600,7.3,y
Calendly,600,3,y
Notion,533,10,n
Plaid,1000,13.4,y
Automation Anywhere,1500,7.3,y
Deel,2600,12,n
HighRadius,4017,3.1,y
Seismic,1500,3,n
Zoho,1200,,n
Postman,700,5.6,n
Workato,837,5.7,y
Dataiku,1200,3.7,n
Cohesity,2100,2.5,y
Algolia,753,2.3,n
Collibra,1151,5.3,y
Icertis,2200,3,y
Druva,1100,2,n
1Password,1027,6.8,n
Yardi,9300,,n
Fivetran,1150,5.6,y
Checkout.com,1900,40,y
Rippling,2000,11.3,n
HiBob,745,2.5,y
Komodo Health,800,3.3,y
Outreach,1045,4.4,y
BrowserStack,1050,4,n
Webflow,600,4,n
Pendo,750,2.6,y
Lucid,1100,3,n
LaunchDarkly,525,3,n
ClickUp,900,4,y
Retool,307,3.2,y
Razorpay,2500,7.5,n
Contentsquare,1854,5.6,n
6sense,1200,5.2,y
Automattic,1951,7.5,n
Papaya Global,708,3.7,n
Yotpo,800,1.4,y
Highspot,850,3.5,y
OwnBackup,727,3.4,y
Anthropic,200,5,n
Sentry,354,3,n
Chainalysis,900,8.6,y
Forter,500,3,n
Intercom,854,1.3,y
Contentful,750,3,n
Claroty,488,1.1,n
Abnormal Security,500,4,n
Cloudinary,476,2,y
Vanta,340,1.6,y
dbt Labs,376,4.2,y
ActiveCampaign,912,3,y
Midjourney,44,,n
Brightwheel,400,0.605,n
Tekion,3043,3.5,y
Personio,1700,8.5,n
Axonius,589,2.6,n
Harness,720,3.7,n
Kong Inc. ,500,1.4,n
Moveworks,447,2.1,n
Front,275,1.7,y
Mambu,964,5,n
Orca Security,447,1.8,n
Cribl,525,2.5,n
Cockroach Labs,460,5,n
Hugging Face,200,2,n
MessageBird,600,3.8,y
DeepL,600,1,n